회차,세트번호,예측번호,당첨번호,일치개수,일치번호,등수
2,1,6 16 20 21 28 36,9 13 21 25 32 42 +2,1,21,0
2,2,10 13 14 26 34 41,9 13 21 25 32 42 +2,1,13,0
2,3,7 16 18 23 30 35,9 13 21 25 32 42 +2,0,,0
2,4,13 18 24 26 33 34,9 13 21 25 32 42 +2,1,13,0
2,5,3 6 11 38 41 43,9 13 21 25 32 42 +2,0,,0
2,6,9 12 22 36 38 39,9 13 21 25 32 42 +2,1,9,0
2,7,10 11 24 25 32 35,9 13 21 25 32 42 +2,2,25 32,0
2,8,7 25 26 28 37 44,9 13 21 25 32 42 +2,1,25,0
2,9,2 4 5 26 31 32,9 13 21 25 32 42 +2,1,32,0
2,10,2 11 14 25 27 43,9 13 21 25 32 42 +2,1,25,0
3,1,4 5 6 9 25 45,11 16 19 21 27 31 +30,0,,0
3,2,3 4 7 17 22 44,11 16 19 21 27 31 +30,0,,0
3,3,3 7 13 15 32 41,11 16 19 21 27 31 +30,0,,0
3,4,6 17 19 31 38 41,11 16 19 21 27 31 +30,2,19 31,0
3,5,13 15 23 26 40 43,11 16 19 21 27 31 +30,0,,0
3,6,2 3 5 25 33 45,11 16 19 21 27 31 +30,0,,0
3,7,24 27 28 30 42 45,11 16 19 21 27 31 +30,1,27,0
3,8,9 14 22 26 28 44,11 16 19 21 27 31 +30,0,,0
3,9,3 17 34 40 43 45,11 16 19 21 27 31 +30,0,,0
3,10,2 5 7 28 37 39,11 16 19 21 27 31 +30,0,,0
4,1,9 21 23 24 31 33,14 27 30 31 40 42 +2,1,31,0
4,2,11 14 17 22 27 33,14 27 30 31 40 42 +2,2,14 27,0
4,3,16 17 19 38 40 45,14 27 30 31 40 42 +2,1,40,0
4,4,9 14 17 25 28 41,14 27 30 31 40 42 +2,1,14,0
4,5,3 7 20 25 33 45,14 27 30 31 40 42 +2,0,,0
4,6,1 11 21 25 26 45,14 27 30 31 40 42 +2,0,,0
4,7,12 21 25 26 44 45,14 27 30 31 40 42 +2,0,,0
4,8,6 16 25 35 36 37,14 27 30 31 40 42 +2,0,,0
4,9,3 4 5 13 24 35,14 27 30 31 40 42 +2,0,,0
4,10,1 6 12 20 33 45,14 27 30 31 40 42 +2,0,,0
5,1,25 26 33 34 41 43,16 24 29 40 41 42 +3,1,41,0
5,2,4 5 19 31 32 43,16 24 29 40 41 42 +3,0,,0
5,3,5 13 17 30 32 43,16 24 29 40 41 42 +3,0,,0
