회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스
1,10,23,29,33,37,40,16
2,9,13,21,25,32,42,2
3,11,16,19,21,27,31,30
4,14,27,30,31,40,42,2
5,16,24,29,40,41,42,3
6,14,15,26,27,40,42,34
7,2,9,16,25,26,40,42
8,8,19,25,34,37,39,9
9,2,4,16,17,36,39,14
10,9,25,30,33,41,44,6
11,1,7,36,37,41,42,14
12,2,11,21,25,39,45,44
13,22,23,25,37,38,42,26
14,2,6,12,31,33,40,15
15,3,4,16,30,31,37,13
16,6,7,24,37,38,40,33
17,3,4,9,17,32,37,1
18,3,12,13,19,32,35,29
19,6,30,38,39,40,43,26
20,10,14,18,20,23,30,41
21,6,12,17,18,31,32,21
22,4,5,6,8,17,39,25
23,5,13,17,18,33,42,44
24,7,8,27,29,36,43,6
25,2,4,21,26,43,44,16
