파일저장일시,알고리즘,회차,세트번호,번호세트,일치개수,등수
2025-04-25 16:54:06,2,1168,1,2 26 35 38 39 41,0,0
2025-04-25 16:54:06,2,1168,2,2 18 20 25 27 44,0,0
2025-04-25 16:54:06,2,1168,3,1 16 24 33 38 42,2,0
2025-04-25 16:54:06,2,1168,4,7 10 11 16 27 36,0,0
2025-04-25 16:54:06,2,1168,5,16 21 25 26 36 45,1,0
2025-04-25 16:54:06,3,1168,1,5 9 22 37 41 43,2,0
2025-04-25 16:54:06,3,1168,2,1 11 12 24 27 33,2,0
2025-04-25 16:54:06,3,1168,3,10 11 17 28 41 42,0,0
2025-04-25 16:54:06,3,1168,4,4 5 13 30 33 39,2,0
2025-04-25 16:54:06,3,1168,5,4 25 27 32 34 36,0,0
2025-04-25 16:54:06,4,1168,1,5 6 19 23 37 45,1,0
2025-04-25 16:54:06,4,1168,2,6 8 23 26 36 45,0,0
2025-04-25 16:54:06,4,1168,3,8 17 33 34 35 45,1,0
2025-04-25 16:54:06,4,1168,4,1 11 12 20 36 39,0,0
2025-04-25 16:54:06,4,1168,5,10 17 25 26 33 37,2,0
2025-04-25 16:54:06,5,1168,1,11 21 23 31 39 40,1,0
2025-04-25 16:54:06,5,1168,2,11 13 14 25 34 43,0,0
2025-04-25 16:54:06,5,1168,3,4 15 19 26 40 43,0,0
2025-04-25 16:54:06,5,1168,4,1 2 14 31 39 42,0,0
2025-04-25 16:54:06,5,1168,5,10 14 22 23 29 42,0,0
